,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
,Bilibili Gaming,biank,VAXEE XE Wireless White,,800,0.314,251.2,,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,
,Bilibili Gaming,whzy,Razer Viper V3 Pro Black,1000,1600,0.13,208.00,1,ZOWIE XL2566K,1600x1024,VAXEE PA Y22,Razer Huntsman V3 Pro Mini,
,All Knights,adverso,Logitech G Pro X Superlight White,1000,400,0.5,200,1,,1920x1080,X-raypad Aqua Control+,Varmilo VA87M Summit,HyperX Cloud II Wireless
,3DMAX,Davidp,Logitech G Pro X Superlight Black,1000,400,0.68,272,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Xtrfy K4 RGB,HyperX Cloud II
,S2G,russ,ZOWIE EC2-CW,1000,800,0.45,360,1,ASUS TUF VG259QM,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
,S2G,AsLanM4shadoW,Logitech G Pro X Superlight Red,1000,400,0.45,180,0.9,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,Razer BlackWidow X Chroma Mercury,HyperX Cloud II
,S2G,aimdll,Razer Deathadder V3 Pro Black,1000,800,0.27,216,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Razer BlackWidow Elite,HyperX Cloud II
,Ovation Esports,Luzuh,Razer Deathadder V3 Pro Black,1000,400,0.541,216,1,ZOWIE XL2540,1280x960,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2
,Rex Regum Qeon,Monyet,ZOWIE EC2-CW,1000,400,0.632,252.8,1,ZOWIE XL2546K,1920x1080,Logitech G640 Black,Wooting 60 HE,HyperX Cloud II Pink
,TBK Esports,DeNaro,Razer Viper Ultimate,1000,400,0.520,208,1,Acer Predator XB252Q,1920x1080,Razer Gigantus,HyperX Alloy FPS,
,FUT Esports,cNed,ZOWIE U2,1000,800,0.3,240,1,ZOWIE XL2546K,1920x1080,Zowie G-SR II,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
,FUT Esports,qRaxs,ZOWIE EC2-CW,1000,800,0.6,480,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,SteelSeries Apex Pro Mini Black,HyperX Cloud II
,FUT Esports,MrFalin,Pulsar Xlite V3 Es,1000,800,0.42,336.00,1,Alienware AW2523HF,1920x1080,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL Black,
,FUT Esports,AtaKaptan,ZOWIE EC2-CW,1000,800,0.28,224,1,Alienware AW2521H,1280x960,ZOWIE G-SR-SE Bi,Logitech G Pro X TKL Keyboard Black,HyperX Cloud II
,FUT Esports,yetujey,Razer Viper V3 Pro White,1000,800,0.7,560,1,ASUS TUF VG279QM,1280x960,ZOWIE G-SR-SE Rouge,Logitech G Pro X TKL Keyboard White,Logitech G Pro X Headset
,SK Gaming,Meddo,Logitech G Pro X Superlight Black,1000,800,0.25,200,1,ZOWIE XL2546,1920x1080,,,SteelSeries Arctis Pro White
,SK Gaming,murii,G-Wolves Hati S+ 4K,1000,800,0.375,300,1,ASUS ROG STRIX XG248Q,1280x1024,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2
,SK Gaming,Felix,Logitech G Pro X Superlight Black,1000,800,0.34,272,0.71,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Logitech G Pro Headset
,ONE Team,ChiaWei,Razer Viper Mini Signature Edition,1000,1600,0.11,176.00,1,ZOWIE XL2546K,1280x960,Zowie G-SR II,Wooting 60 HE,HyperX Cloud Alpha S
,Oxygen Esports,mitch,Razer Deathadder V3 Pro Black,1000,800,0.28,224,1,ZOWIE XL2540,1920x1080,HyperX Fury S Pro,Ducky One 2 Mini,Razer BlackShark V2 Pro Black
,Oxygen Esports,dapr,G-Wolves Hati S+ 4K,4000,1600,0.16,256.00,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Deep Blue,Wooting 60 HE,HyperX Cloud II Gun Metal
,Attack All Around,ChAlalala,ZOWIE FK1,1000,400,0.6,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Razer BlackWidow Chroma V2,HyperX Cloud Alpha
,Attack All Around,Kongared,Logitech G Pro X Superlight Red,1000,800,0.485,388,1,ZOWIE XL2546,1920x1080,Razer Gigantus,Razer Blackwidow Chroma TE V2,HyperX Cloud II
,Digital Athletics,Doma,Logitech G Pro X Superlight Black,1000,800,0.35,280,0.75,ZOWIE XL2566K,1280x1024,VAXEE PA OUTSET,Razer BlackWidow V3 Pro,Logitech G Pro X Headset
,M80,BCJ,Glorious Model D- Wireless White,1000,800,0.37,296,1,ZOWIE XL2566K,1440x1080,ZOWIE G-SR-SE Rouge,Varmilo VA87M Summit,Sennheiser GAME ONE
,M80,Zander,Logitech G Pro X Superlight Magenta,1000,1600,0.115,184.00,0.95,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II Wireless
,M80,koalanoob,Logitech G Pro X Superlight Black,1000,400,0.627,250.80,1.013,,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Stinger II
,M80,neT,Razer Viper V2 Pro White,1000,1600,0.11,176,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,Disguised,Wayne,Razer Viper V3 Pro White,1000,800,0.4,320,0.8,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro White
,Disguised,juicy,Razer Viper V3 Pro White,4000,800,0.345,276,0.885,ZOWIE XL2566K,1280x1024,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Disguised,Vera,Razer Viper V3 Pro White,1000,1600,0.154,246.4,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,ALTERNATE aTTaX,stavros,Logitech G Pro X Superlight White,1000,1600,0.19,304,1,ZOWIE XL2566K,1920x1080,HyperX Fury S Pro,Xtrfy K2 RGB,Beyerdynamic MMX 150
